"id","block","trial","start_hand","switch_hands","targ_x","targ_y","pt_x","pt_y","ang_err","dist_err","move_time","vsp_setsize","vsp1_color","vsp1_x","vsp1_y","vsp2_color","vsp2_x","vsp2_y","vsp3_color","vsp3_x","vsp3_y","recall_vsp","recall_vsp_color","recall_vsp_x","recall_vsp_y","pt_vsp_x","pt_vsp_y","vsp_ang_err","vsp_move_time"
5,1,24,1,1,-3.3077,-11.5348447535302,-4.13740175752327,-11.0116403713121,-4.59207067954539,0.98089135,1232,1,238158256,3.30772197059557,11.5348447535302,50090244,11.643548715312,2.90306274719601,50090244,11.643548715312,2.90306274719601,1,238158256,3.30772197059557,11.5348447535302,3.91705107083702,11.3426941644591,-3.05095608720112,1886
5,1,25,1,1,0.6282,-11.9832829745466,6.2847550663605,-11.2943381180349,26.0929588344546,5.6983559,1324,1,80235176,-10.0639085084791,-6.53539697767209,50090244,10.6920782902604,-5.44788599687456,50090244,10.6920782902604,-5.44788599687456,1,80235176,-10.0639085084791,-6.53539697767209,-10.1744336657235,-6.36246018312044,-0.979964764136812,2371
5,1,26,0,0,11.7795,2.28970794451854,11.6573800789505,3.41180685295038,5.31333388109492,1.1287246,1388,3,245220064,-11.779526201372,-2.28970794451854,237069072,-3.90687598288325,-11.3459238573671,255255248,7.87265021848872,-9.0562159128486,3,255255248,7.87265021848872,-9.0562159128486,7.03417362731879,-9.72216032478033,-5.11425158437015,2282
5,1,27,0,0,-10.5954,5.63365875343069,-5.95754448051103,5.97167680926017,-17.067941971881,4.650157,1169,1,50090244,-10.1764341307509,-6.35876218341987,50090244,10.5953711143071,-5.63365875343069,50090244,10.5953711143071,-5.63365875343069,1,50090244,-10.1764341307509,-6.35876218341987,-10.6664041713879,-5.49798345328527,-4.73049259023935,4874
5,1,28,0,0,-6.5357,10.0637425858043,-6.3133633349952,10.1586030628745,-1.14081458228131,0.24172733,1230,3,238158256,11.9835544170549,0.628031474915326,80235176,-5.44790194086919,-10.6917740607196,245220064,5.44790194086919,10.6917740607196,3,245220064,5.44790194086919,10.6917740607196,5.54498268012426,10.6420471281198,-0.520802554838944,2337
5,1,29,1,0,-11.3462,-3.90681785348588,-12.001227401084,-5.78005346169615,6.71644722615099,1.9844577,1700,1,237069072,-2.28980712789604,-11.7792381519281,50090244,11.3462229071918,3.90681785348588,50090244,11.3462229071918,3.90681785348588,1,237069072,-2.28980712789604,-11.7792381519281,-0.729694135284292,-11.9777938899002,7.51454377970258,2555
5,1,30,0,1,10.5954,-5.63365875343069,8.19860622974149,-4.74511363063765,-2.06106867683841,2.556195,1210,3,255255248,10.1764341307509,6.35876218341987,50090244,-0.418936983556207,11.9924209368506,238158256,-10.1764341307509,-6.35876218341987,1,255255248,10.1764341307509,6.35876218341987,10.2853631920471,-6.18152926124942,-63.0052462213127,1413
5,1,31,0,1,-3.7083,-11.4123802057618,3.0749025030283,-10.9065254812681,33.7457379381941,6.8020383,1353,3,80235176,11.7377712088057,2.49494028981311,245220064,-11.7377712088057,-2.49494028981311,237069072,-8.02950393662324,8.91743991594868,3,237069072,-8.02950393662324,8.91743991594868,-10.7441352581872,5.34448852125044,21.5520002542847,8411
5,1,32,1,0,-9.456,-7.38765524008272,-9.58684658397033,-5.70418800666402,-7.24660793095963,1.6885446,1343,1,255255248,-1.67019133431401,11.8829343610737,50090244,11.1262062548014,-4.49527912099094,50090244,11.1262062548014,-4.49527912099094,1,255255248,-1.67019133431401,11.8829343610737,-2.43064352849755,11.7512540623277,3.68560077012706,14245
5,1,33,0,1,11.9836,0.628031474915326,8.92805655227565,5.0769771739204,26.6249198057968,5.3971718,1290,1,50090244,5.44790194086919,10.6917740607196,50090244,11.9835544170549,0.628031474915326,50090244,11.9835544170549,0.628031474915326,1,50090244,5.44790194086919,10.6917740607196,6.51234421648953,10.0791553617332,-5.86658496783479,1740
5,1,34,1,1,-1.2545,11.9339844354915,-2.09005123233476,12.2006930798341,3.71986162807523,0.87708572,1253,1,238158256,9.70808002138133,7.05314471858187,50090244,10.9625454917112,-4.8808397169096,50090244,10.9625454917112,-4.8808397169096,1,238158256,9.70808002138133,7.05314471858187,10.8292173415192,5.16991796551352,-10.4792495281832,3609
5,1,35,1,0,-5.0714,10.8753899566648,-5.87156391282621,11.1494466469735,2.77182864237961,0.8457951,1118,3,80235176,11.9543363771009,-1.0458689129719,245220064,6.88289068447272,9.82952104369289,237069072,5.07144569262823,-10.8753899566648,2,245220064,6.88289068447272,9.82952104369289,10.0094762257993,6.61894143237109,-21.5239037436289,1689
5,1,36,0,0,-9.0564,7.87242029844225,-7.44193627507885,6.15518911951053,1.4053378106299,2.3569845,1278,3,255255248,11.3462229071918,3.90681785348588,50090244,9.05641577929576,-7.87242029844225,238158256,-11.3462229071918,-3.90681785348588,3,238158256,-11.3462229071918,-3.90681785348588,-9.34658568484521,-7.52604385024739,19.8416611251011,2410
5,1,37,0,0,-5.2605,10.7852246506459,-6.39420363606551,10.9456856180361,4.29160021228745,1.1450029,2398,3,80235176,6.71029359054509,9.94814696571639,245220064,-11.9707686031179,0.837077684929504,237069072,5.2604750125728,-10.7852246506459,1,80235176,6.71029359054509,9.94814696571639,8.17586193774702,8.78380791996839,-8.94629459901984,4441
5,1,38,1,0,-11.7378,-2.49494028981311,-12.4170682101682,-0.15776819297864,-11.272024607155,2.4338814,1599,3,255255248,8.02950393662324,-8.91743991594868,50090244,11.7377712088057,2.49494028981311,238158256,3.70826727218243,11.4123802057618,1,255255248,8.02950393662324,-8.91743991594868,8.48528137442712,-8.48528137405002,2.99927269402641,1794
5,1,39,0,0,10.3922,5.99973616791637,8.18524270621576,6.22023235540653,7.23322485416464,2.2179448,1345,3,80235176,-0.00015232352450311,11.9997361679164,245220064,10.3923048454133,-6,237069072,-10.3923048454133,6,3,237069072,-10.3923048454133,6,4.93503423011171,10.9382556720725,-84.2835613654606,4025
5,1,40,0,1,10.5954,5.63365875343069,13.5660614659731,6.20985830937808,-3.40401900536112,3.0260264,1306,3,255255248,-10.1764341307509,6.35876218341987,50090244,-10.5953711143071,-5.63365875343069,238158256,0.418936983556207,11.9924209368506,3,238158256,0.418936983556207,11.9924209368506,0.823987268329954,-11.9716767823739,-174.061925069017,4651
