"id","block","trial","type","size","start_hand","switch_hands","targ","targ_x","targ_y","xtra_targ1","xtra_targ1_x","xtra_targ1_y","xtra_targ2","xtra_targ2_x","xtra_targ2_y","xtra_targ3","xtra_targ3_x","xtra_targ3_y","pt_x","pt_y","dist_err","move_time"
586,1,1,1,0,1,1,9,-5.91029596328735,9.27730560302734,24,-13.6781616210938,10.0949430465698,42,0,0,42,0,0,-11.960353680347,12.7775914457157,6.9896494,2782
586,1,2,0,0,1,0,2,7.72740697860718,2.070552110672,42,0,0,42,0,0,42,0,0,7.96955570915673,2.56628464824255,0.55171257,3086
586,1,3,0,0,0,1,7,5.91029596328735,9.27730560302734,42,0,0,42,0,0,42,0,0,11.0086722881625,12.2571503514061,5.9053294,3062
586,1,4,1,1,1,0,14,0,14,19,13.6781616210938,10.0949430465698,2,7.72740697860718,2.070552110672,24,-13.6781616210938,10.0949430465698,1.16745517114854,19.0371472376711,5.1706676,2740
586,1,5,0,0,1,1,7,5.91029596328735,9.27730560302734,42,0,0,42,0,0,42,0,0,13.3384956673697,10.4420437257053,7.5189604,2642
586,1,6,1,1,1,1,12,9.60738277435303,10.1832313537598,25,-16.4207382202148,4.39992380142212,5,-7.72740697860718,2.070552110672,20,9.04454517364502,14.3943109512329,17.2532018942366,7.6689574931219,8.04861,2512
586,1,7,1,1,0,0,24,-13.6781616210938,10.0949430465698,6,9.96938610076904,4.64880084991455,14,0,14,17,-12.6883087158203,5.91665601730347,-16.989428310801,13.5722586952898,4.8016884,2864
586,1,8,0,0,1,1,22,-3.16049695014954,16.7036304473877,42,0,0,42,0,0,42,0,0,-3.86361125436376,19.5580047184807,2.9396976,2820
586,1,9,1,0,1,0,3,3.38094592094421,7.2504620552063,9,-5.91029596328735,9.27730560302734,42,0,0,42,0,0,3.76965780195172,5.13190956839187,2.1539177,2780
586,1,10,0,1,0,0,21,3.16049695014954,16.7036304473877,42,0,0,42,0,0,42,0,0,0.485135388342637,16.5856603402069,2.6779612,3406
586,1,11,0,1,1,1,14,0,14,42,0,0,42,0,0,42,0,0,0.728338223439392,18.075514045113,4.1400835,2354
586,1,13,0,0,0,0,19,13.6781616210938,10.0949430465698,42,0,0,42,0,0,42,0,0,14.9980375864253,11.505768323348,1.931968,2989
586,1,14,1,0,0,1,4,-3.38094592094421,7.2504620552063,20,9.04454517364502,14.3943109512329,42,0,0,42,0,0,-9.21889912417227,10.3547008736333,6.6119586,2373
586,1,16,0,1,0,0,16,-9.60738277435303,10.1832313537598,42,0,0,42,0,0,42,0,0,-12.3160156041805,14.1621462044399,4.8133622,2988
586,1,17,1,0,0,1,14,0,14,2,7.72740697860718,2.070552110672,42,0,0,42,0,0,0.825558231380191,17.7119574639859,3.8026536,3058
586,1,18,1,0,1,1,23,-9.04454517364502,14.3943109512329,11,12.6883087158203,5.91665601730347,42,0,0,42,0,0,-11.8455397820797,13.112867359794,3.0802059,2519
586,1,19,1,0,1,0,25,-16.4207382202148,4.39992380142212,14,0,14,42,0,0,42,0,0,-22.4564296769038,5.02447421584037,6.0679185,3532
586,1,20,1,0,0,0,4,-3.38094592094421,7.2504620552063,8,0,11,42,0,0,42,0,0,-7.14486343170694,8.09428927582159,3.8573462,2209
586,1,22,1,1,0,1,10,-9.96938610076904,4.64880084991455,25,-16.4207382202148,4.39992380142212,12,9.60738277435303,10.1832313537598,14,0,14,-10.9521859873972,8.50885595872707,3.9832049,2165
586,1,23,1,1,0,0,3,3.38094592094421,7.2504620552063,6,9.96938610076904,4.64880084991455,20,9.04454517364502,14.3943109512329,17,-12.6883087158203,5.91665601730347,7.64932474592693,10.6506591898592,5.457142,3310
586,1,24,0,0,0,1,11,12.6883087158203,5.91665601730347,42,0,0,42,0,0,42,0,0,11.5489986776574,10.0236996210154,4.2621397,2464
586,1,25,0,1,0,1,9,-5.91029596328735,9.27730560302734,42,0,0,42,0,0,42,0,0,-11.2125017890809,10.4358383040999,5.4272999,2378
586,1,28,0,0,0,0,9,-5.91029596328735,9.27730560302734,42,0,0,42,0,0,42,0,0,-10.6675187964595,12.0785014106215,5.5206763,2284
586,1,29,1,1,0,1,13,5.16888618469238,13.0108652114868,23,-9.04454517364502,14.3943109512329,2,7.72740697860718,2.070552110672,15,-5.16888618469238,13.0108652114868,8.97913724467354,11.1512799707987,4.2398196,3578
586,1,30,1,1,1,0,10,-9.96938610076904,4.64880084991455,15,-5.16888618469238,13.0108652114868,20,9.04454517364502,14.3943109512329,12,9.60738277435303,10.1832313537598,-13.1082189463977,12.1885444689852,8.1670071,3101
586,1,31,0,1,1,0,8,0,11,42,0,0,42,0,0,42,0,0,-0.348221041472717,14.4110080908086,3.4287365,2596
586,2,1,1,0,0,0,17,-12.6883087158203,5.91665601730347,12,9.60738277435303,10.1832313537598,42,0,0,42,0,0,-18.9679441238312,5.53738313408267,6.2910785,3136
586,2,2,1,1,1,1,25,-16.4207382202148,4.39992380142212,22,-3.16049695014954,16.7036304473877,4,-3.38094592094421,7.2504620552063,15,-5.16888618469238,13.0108652114868,-27.6626256720687,3.41473800791267,11.284973,2980
586,2,3,0,0,0,0,2,7.72740697860718,2.070552110672,42,0,0,42,0,0,42,0,0,10.6553205286143,7.33260627041198,6.0217848,2876
586,2,4,1,1,0,1,8,0,11,3,3.38094592094421,7.2504620552063,6,9.96938610076904,4.64880084991455,18,16.4207382202148,4.39992380142212,-0.270498441264609,19.6626329363973,8.6668552,2523
