"id","block","trial","setsize","start_hand","switch_hands","recall_move","targ1","targ2","targ3","targ4","recall_targ","targ_x","targ_y","pt_x","pt_y","dist_err","move_time"
4,4,21,1,1,1,1,18,18,18,18,18,12.9031143188477,9.46095371246338,10.8078387952108,7.74294009236668,2.7095664,2853
4,4,22,4,0,0,4,15,12,19,4,4,3.38094592094421,7.2504620552063,2.01323284860639,6.89968678826706,1.4119782,2497
4,4,23,4,1,1,4,14,6,17,3,3,6.12835597991943,5.14230108261108,3.97739500804439,1.38307680744967,4.3310969,503
4,4,24,4,1,0,4,24,18,7,4,4,3.38094592094421,7.2504620552063,-3.99339800959928,5.27671249785027,7.6339135,2591
11,1,1,4,0,0,2,24,2,11,7,2,7.72740697860718,2.070552110672,10.1069337959393,4.82357788740484,3.6388595,2366
11,1,2,1,1,0,1,9,9,9,9,9,9.82982540130615,6.88291692733765,7.30263817175165,8.43575186980141,2.9661375,1962
11,1,3,4,1,1,3,2,12,15,19,15,-7.5982551574707,9.28797721862793,-12.8339215902178,9.87552867081872,5.2685311,2470
11,1,4,4,1,0,2,17,20,23,7,20,5.79900884628296,14.9121255874634,8.61731470739868,15.3749528439782,2.8560562,2695
11,1,5,1,0,0,1,21,21,21,21,21,1.39449203014374,15.9391145706177,5.51298723460854,16.1411265245764,4.1234466,2472
11,1,6,4,1,0,3,13,10,24,3,24,-11.064208984375,11.5578231811523,-17.2943691701949,10.1178557700099,6.394404,3131
11,1,7,1,0,1,1,12,12,12,12,12,1.64044296741486,11.8873443603516,2.63444807881027,14.2489940312531,2.5623105,2358
11,1,8,1,1,0,1,3,3,3,3,3,6.12835597991943,5.14230108261108,7.2770916586471,8.65129781350183,3.6922421,1887
11,1,9,1,1,1,1,18,18,18,18,18,12.9031143188477,9.46095371246338,8.00220898004388,10.3810029262325,4.9865182,1970
11,1,10,4,0,1,4,25,21,12,5,5,0,8,0.342469074666481,9.46762279709614,1.5070507,2396
11,1,11,4,0,1,3,24,7,11,15,11,4.79870414733887,10.9987468719482,-9.27834871622841,5.7824463710022,15.012435,2785
11,1,12,1,1,1,1,6,6,6,6,6,-3.38094592094421,7.2504620552063,-6.89969597984853,11.9503487680409,5.8711615,2047
11,1,13,1,1,0,1,23,23,23,23,23,-7.38797807693481,14.1921730041504,-10.5850566556977,13.3511631563236,3.3058447,2393
11,1,14,1,0,0,1,13,13,13,13,13,-1.64044296741486,11.8873443603516,-0.72584772738139,16.3774898547848,4.5823456,2193
11,1,15,1,0,1,1,8,8,8,8,8,-7.72740697860718,2.070552110672,-8.9815843556791,5.9264220204519,4.0547125,1882
11,1,16,4,1,0,1,16,6,4,9,16,-9.82982540130615,6.88291692733765,-13.6857650551754,6.0574282110765,3.9433111,2217
11,1,17,4,0,0,4,13,15,17,10,10,7.5982551574707,9.28797721862793,6.76750071551451,12.4495028705238,3.2688526,2324
11,1,18,1,1,1,1,14,14,14,14,14,-4.79870414733887,10.9987468719482,-7.62688099925586,14.7063066842501,4.6631088,1994
